ID_Transacao;Data_Transacao;Nome_Cliente;CPF;Valor_Transacao;Tipo_Transacao;Banco_Origem;Banco_Destino;Moeda;Status_Transacao;IP_Origem;Localizacao;Canal_Transacao
TX-57;08/05/2024;Luiz Miguel Silveira;25094710302;22963.92;Boleto;Santander;BTG P@ctu@l;BRL;Cancelada;195139235106;Belo Horizonte;Caixa Eletrônico
TX-45;22/10/2024;R4f43l S4nt0s;069.188.807-13;3914.56;Pix;Caixa Econômica;Itaú;BR$;Aprovdo;74.83.119.104;Salvad0r;Agência Física
TX-14;22/02/2024;Vicente Costa;55472565610;8896,81;DOC;BTG Pactual;Inter;Real;Aprovda;117255194225;Salvador;Internet Banking
tx8;10/12/2024;André N0gu3ir4;502.653.269-39;43618.64;Boleto;Caixa Econômica;It@ú;Real;Aprovada;155.16.190.57;Rio de Janeiro;Agência Física
TX-71;13/01/2025;Cecília Costela;39014903719;11656,75;Transferência;Itaú;BTG P@ctu@l;BRL;Aprovdo;78.33.187.186;São Paulo;Agência Física
TX-45;06/03/2024;Ana Lívia Azevedo;48867127519;47056,64;Transferência;Inter;C@ix@ Econômic@;Usd;Aprovdo;156.91.58.100;P0rt0 Alegre;caixaeletrônico
TX-64;11/05/2024;Agatha Lopes;705.068.735-01;40976,75;Boleto;Itaú;BTG P@ctu@l;BR$;Cancelada;181.71.150.136;Curitiba;caixaeletrônico
tx54;29/01/2025;João Pedro Rodrigues;653.490.064-88;11435.93;DOC;Caixa Econômica;S@nt@nder;USD;Pndente;149.105.122.24;São Paulo;Agência Física
TX-98;28/06/2024;M4rc3l4 Di4s;156.860.920-77;32902,16;Boleto;Itaú;Inter;eur;Aprovada;173175245113;Rio de Janeiro;Agência Física
TX-77;15/03/2024;Luiz Felipe Barros;441.300.936-01;39591,5;DOC;Itaú;Caixa Econômica;BR$;Pendnte;143.65.126.190;Curitiba;Internet Banking
TX-72;31/07/2024;Dr. Luiz Felipe Teixeira;33424344224;7942.05;DOC;Caixa Econômica;Santander;EURO;Aprovada;41.25.20.251;Belo Horizonte;Internet Banking
TX-95;28/06/2024;Lorena Oliveira;13817942796;44296.21;Transferência;Itaú;Santander;eur;Pendente;147.45.234.99;Salvador;internetbanking
tx91;29/03/2024;Dr. Luiz Gust4v0 Lim4;31211524979;2594.20;Boleto;Caixa Ekonômika;Caixa Econômica;eur;Pendente;154.196.50.24;Salvador;caixaeletrônico
TX-3;19/06/2024;Lucas Gabriel da Mata;17525186917;6003.12;TED;Banko do Brasil;Inter;USD;Cancelada;98.70.105.37;Curitiba;Caixa Eletrônico
TX-45;07/06/2024;Maria Eduarda Nunes;672.197.308-95;4615,03;Depósito;Itaú;Banco do Brasil;USD;Aprovada;76.114.44.81;P0rt0 Alegre;Caixa Eletrônico
TX-99;04/09/2024;J0ã0 P3dr0 M3nd3s;76102989340;30054,77;Pix;Santander;Caixa Econômica;EUR;Pndente;23.112.58.85;Salvador;Caixa Eletrônico
TX-80;21/07/2024;Valentina Porto;69650426560;31087,91;TED;Caixa Ekonômika;Inter;Real;Pendente;184.63.182.128;Curitiba;Caixa Eletrônico
TX-21;09/11/2024;Sophie Dias;3816146275;24818.46;TED;BTG Paktual;Banco do Brasil;EURO;Cancelada;146103227115;Curitiba;Agência Física
TX-43;31/12/2024;Isabella da Cunha;181.721.689-96;11785,3;Pix;Bradesco;It@ú;BR$;Aprovada;133.217.56.81;Belo Horizonte;agênciafísica
TX-7;08/02/2025;Valentina Costela;31278834490;17652.46;Boleto;Inter;Santander;BRL;Cancelada;205.1.56.232;São Paulo;Internet Banking
TX-99;14/05/2024;Gustavo Henrique Freitas;490.130.071-86;23039.65;Pix;Bradesko;S@nt@nder;EUR;Pendnte;161.67.139.215;Bel0 H0riz0nte;Caixa Eletrônico
TX-42;23/01/2025;Maysa Castro;90570852729;49149.56;Depósito;Caixa Ekonômika;Bradesco;BR$;Cancelado;140.121.49.200;Curitiba;Internet Banking
TX-81;14/10/2024;Yasmin Oliveira;239.620.763-26;12171,55;Boleto;Itaú;Bradesco;EURO;Pndente;99.38.141.67;Belo Horizonte;internetbanking
TX-74;10/05/2024;L3vi d4 R0ch4;825.015.143-74;19794,7;Boleto;Itaú;Caixa Econômica;BRL;Pendnte;27.213.174.49;Salvador;Agência Física
TX-84;08/11/2024;Nathan Jesus;910.085.188-13;32068.23;Transferência;Banco do Brasil;It@ú;EUR;Cancelada;57.126.87.244;Belo Horizonte;Agência Física
